date,raw_close,close_hfq,ma20_raw,ma60_raw,ma120_raw,ma20_hfq,ma60_hfq,ma120_hfq
2026-07-28,57.0,83.01,64.47299999999998,80.43516666666666,82.46174999999998,93.893,116.88666666666667,119.24883333333332
2026-07-27,58.3,84.9,65.66749999999999,80.92366666666665,82.73324999999998,95.63250000000001,117.58266666666667,119.61850000000001
2026-07-24,55.15,80.32,66.463,81.32149999999999,83.03349999999999,96.791,118.14750000000001,120.02783333333335
2026-07-23,57.75,84.1,67.40549999999999,81.8275,83.266,98.1635,118.869,120.34375000000001
2026-07-22,55.24,80.45,68.442,82.29016666666666,83.49808333333333,99.67300000000002,119.5275,120.65791666666668
2026-07-21,57.1,83.16,69.77149999999999,82.8105,83.71199999999999,101.60900000000001,120.26983333333334,120.94775
2026-07-20,54.01,78.66,71.01150000000001,83.38233333333336,83.9530833333333,103.41449999999998,121.08616666666666,121.27475
2026-07-17,56.31,82.0,72.53600000000002,83.99683333333336,84.20999999999997,105.63449999999997,121.96483333333335,121.62541666666667
2026-07-16,59.65,86.87,73.8905,84.56,84.46974999999996,107.60749999999999,122.769,121.979
2026-07-15,61.51,89.58,75.09650000000002,85.04983333333334,84.61699999999998,109.36399999999999,123.4665,122.17349999999998
2026-07-14,62.89,91.59,76.2125,85.39983333333335,84.71024999999996,110.98899999999999,123.96150000000002,122.29149999999998
2026-07-13,62.05,90.36,77.10400000000001,85.68900000000001,84.79624999999997,112.28699999999996,124.36833333333334,122.39866666666666
2026-07-10,66.43,96.74,77.9675,86.0125,84.85508333333333,113.54449999999997,124.82500000000002,122.46824999999997
2026-07-09,68.93,100.38,78.39750000000001,86.199,84.88733333333332,114.171,125.08283333333334,122.49858333333331
2026-07-08,69.3,100.92,78.72600000000001,86.38633333333333,84.90074999999999,114.64950000000002,125.34133333333332,122.50141666666666
2026-07-07,73.88,107.59,79.13600000000004,86.53766666666665,84.89183333333332,115.24650000000001,125.54783333333334,122.47274999999999
2026-07-06,76.14,110.88,79.24300000000002,86.60133333333332,84.82708333333333,115.40249999999999,125.62666666666668,122.36375
2026-07-03,77.44,112.78000000000002,79.4625,86.57249999999998,84.69633333333331,115.72250000000001,125.5715,122.16133333333332
2026-07-02,79.98,116.48000000000002,79.6145,86.50849999999998,84.55724999999998,115.94350000000001,125.46516666666666,121.94658333333332
2026-07-01,80.4,117.09,79.735,86.39716666666666,84.39341666666664,116.119,125.28983333333335,121.69599999999998
